hotel,fooditems
elloras-bakers-and-confectioners-chukkuwala,['cake']
raheem-hotel-chowk,"['chicken', 'mutton']"
the-fusion-kitchen-borivali-west,"['pasta', 'chicken', 'paneer', 'fish']"
bmg-all-day-dining-jakhan,['pasta']
pishusfourbungalows,"['pasta', 'sandwich', 'salad', 'custard']"
paradise-hitech-city,"['chicken', 'biryani']"
mubeens-chowk,['mutton']
kamat-restaurant-mvp-colony-vizag,"['fish curry', 'fish', 'chicken fry', 'chicken']"
dharani-jagadamba-junction-vizag,"['salad', 'sambhar', 'paneer', 'shahi paneer']"
palmshore-ramapuram,"['fish', 'mutton', 'biryani', 'chicken']"
the-grand-buffet-jaypee-palace-hotel-tajganj,['salad']
blue-cilantro-midc,"['tikka', 'biryani', 'kebab']"
kfc-chicalthana,['chicken']
indus-flavour-delhi-university-gtb-nagar-new-delhi,"['tikka', 'gravy', 'momos', 'kheer', 'puris', 'paneer', 'biryani', 'shahi paneer', 'pasta', 'paneer butter masala', 'pizzas', 'chutney']"
violet-hour-kohefiza,"['cake', 'sandwich', 'cookie']"
on-the-house-c-scheme,"['omelette', 'sandwich', 'salad', 'allo', 'coffeee', 'pasta', 'cake', 'chicken', 'pizzas']"
the-breakfast-club-dlf-phase-4-gurgaon,"['cake', 'paneer']"
eat-around-the-corner-pali-hill-bandra-west,"['pasta', 'sandwich', 'salad']"
ten-downing-street-restaurant-bar-ramdaspeth,"['tikka', 'chicken', 'paneer']"
diesel-cafe-balmatta,"['pasta', 'cake', 'salad', 'omelette']"
shree-sainath-nanpura,"['chutney', 'sambar']"
roll-mafia-sri-krishnapuri,"['chicken', 'chicken roll']"
green-leaf-cidco,['custard']
khorikaa-restaurant-ulubari,"['cake', 'fish', 'roasted chicken', 'chicken']"
greek-food-beyond-maharana-pratap-nagar,"['pasta', 'chicken', 'chicken wings', 'salad']"
maybe-there-arera-colony,"['cake', 'tikka', 'chicken', 'pasta']"
chilis-chandigarh-industrial-area,"['chicken wings', 'salad', 'allo', 'fish', 'paneer', 'cake', 'cookie', 'onion rings', 'mexican rice', 'pasta', 'chicken soup', 'chicken', 'pizzas', 'chicken pizza']"
shivabagh-kadri,['sambar']
kapoors-cafe-1-whitefield,"['kadai paneer', 'kheer', 'paneer', 'salad', 'paneer butter masala']"
whats-up-southern-avenue,"['chilli chicken', 'sandwich', 'salad', 'white sauce', 'allo', 'fish', 'coffeee', 'pepper chicken', 'cake', 'cookie', 'pasta', 'chicken', 'pizzas', 'mayonnaise']"
cowboy-restaurant-lounge-arera-colony,"['chicken', 'paneer']"
tinder-box-c-scheme,"['cake', 'pizzas', 'coffeee']"
chianti-2-indiranagar,"['pasta', 'pizzas']"
thefirefly,"['pasta', 'chilli chicken', 'chicken']"
momo-cafe-courtyard-marriot-maharana-pratap-nagar,"['chicken curry', 'chicken', 'mutton', 'salad', 'momos']"
allahabad-biryani-centre-civil-lines,"['chicken', 'chicken biryani', 'biryani']"
niranjan-tea-stall-gt-road,['omelette']
punjabi-nation-guindy,"['chicken', 'biryani', 'paneer']"
pizza-hut-ashok-nagar,"['pasta', 'pizzas']"
ramya-restaurant-chamrajpura,['sambar']
palki-khana-chandpole,"['chicken', 'coffeee']"
kayees-biryani-mattancherry,"['chicken fry', 'chicken', 'mutton', 'fish', 'salad']"
kochi-kitchen-kochi-marriott-hotel-edappally,"['lamb', 'salad', 'fish', 'coffeee', 'cake', 'pudding', 'stew', 'pasta', 'chicken']"
recipes-dispur,"['lamb', 'chicken', 'fish', 'salad', 'pepper chicken']"
new-taj-mahal-cafe-kodailbail,['coffeee']
DESIVIBESCP,"['tikka', 'chicken', 'paneer']"
curry-nation-chandrasekharpur-bhubaneshwar,"['chicken', 'chicken biryani', 'biryani']"
de-candolim-deck-candolim,"['chicken', 'salad']"
burger-king-whitefield,"['chicken', 'mutton']"
rhr-restaurant-ramanathapuram,"['mango lassi', 'appam', 'chutney', 'sambar']"
bagga-sweets-snacks-panchavati,['raj kachori']
burger-point-sector-32,"['cake', 'allo', 'chicken', 'sandwich', 'coffeee']"
sea-gulls-restaurant-white-town,['biryani']
chopsticks-spice-malabar-viman-nagar,"['chicken curry', 'chicken', 'appam']"
royal-cafe-gomti-nagar,"['chilli paneer', 'paneer']"
circles-hotel-daspalla-jubilee-hills,"['cake', 'allo']"
the-black-rabbit-indiranagar,['sandwich']
cafe-oz-restaurant-lounge-bar-ranjit-avenue,['chicken']
bake-n-shake-arera-colony,"['tikka', 'sandwich', 'coffeee', 'pasta', 'cookie', 'chicken lollipop', 'chicken roll', 'cake', 'chicken']"
sms-hotel-peelamedu,"['chicken', 'gravy', 'mushroom gravy']"
zucca-pizzeria-peelamedu,"['pasta', 'pizzas']"
flying-duck-baner,"['fish', 'gravy']"
shiv-sagar-navrangpura,"['biryani', 'paneer']"
valarmathi-kongunaatu-samayal-race-course,"['lamb', 'chicken curry', 'gravy', 'mutton', 'biryani', 'chicken', 'chutney']"
marbal-arch-noor-us-sabah-palace-kohefiza,['chicken']
bistro-flamme-bois-gurdev-nagar,['chicken']
marksmen-lalbagh,"['chicken', 'chilli paneer', 'paneer']"
adda-patia-bhubaneshwar,"['chilli chicken', 'chicken']"
cotinga-the-tamarind-anjuna,"['chicken', 'gravy']"
rustico-fort,['custard']
the-grill-lab-edappally,"['chicken', 'chicken pizza']"
asia-kitchen-by-mainland-china-kasba,"['lamb', 'peanut', 'fish', 'chicken', 'cake']"
